	MachineNumber	machine_type_basename	FakeCountry	SiteId	SiteNumber	SiteName1	sq_hr	price_euro	type	size	overutilization	swap_up_with	swap_down_with	usageMedian	usageQ3	usageQ1	assetUti	utilization	relocated	contract	cost_negot	other_available	other_in_proximity	bigger_fit_doors	storage_closet	skills_in_team	recommendation	upgrade_to	downgrade_to	reasons	quant_underutilized	quant_overutilized
72	301373922	swingo 455	Belgium	53336	2273272	Total Toa (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	62.699999999999996	73.65	24.3	0.179487179487	under	1	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
73	301377839	swingo 455	Netherlands	54240	1921466	DBC Het Areven	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	87.0	121.79999999999998	79.80000000000001	0.116071428571	under	0	0	0	1	1	1	1	1				['contract', 'cost_negot']	1642.2	
74	301377849	swingo 455	Belgium	53382	2277260	De Reuzenboom (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	71.39999999999999	80.70000000000002	48.3	0.41610738255	over	0	1	1	1	1	1	1	1	upgrade	swingo 855 Power				
75	301377494	swingo 455	Belgium	53380	1688368	Ugent Landbouw (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	21.0	25.2	16.200000000000003	0.0546875	under	0	1	1	1	1	0	0	1				['bigger_fit_doors', 'storage_closet']	1642.2	
76	301375588	swingo 455	Netherlands	53370	2188904	Stichting Pergamijn	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	24.599999999999998	30.15	18.45	0.371428571429		0	0	1	1	1	1	1	1				['contract']		
77	301375580	swingo 455	Netherlands	53372	1034711	Lunetzorg Loc Eckartdal	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	20.400000000000002	26.4	19.2	0.13986013986	under	0	1	1	1	0	0	1	1				['other_in_proximity', 'bigger_fit_doors']	1642.2	
78	301375577	swingo 455	Netherlands	52665	2078237	Ziekenhuis Langeland	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	21.599999999999998	23.400000000000002	18.45	0.237037037037	under	1	1	1	1	1	0	1	1				['bigger_fit_doors']	1642.2	
79	301373927	swingo 455	Belgium	53338	2273271	Total TPA (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	22.5	27.749999999999996	19.950000000000003	0.358974358974		0	1	1	1	1	1	1	0				['skills_in_team']		
80	301374218	swingo 455	Netherlands	54255	2284986	Politie loc. Hertog Aalbrachtweg	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	13.2	16.200000000000003	10.200000000000001	0.114035087719	under	1	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
81	301375589	swingo 455	Netherlands	53370	2188904	Stichting Pergamijn	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	60.6	65.85000000000001	27.150000000000002	0.264516129032	under	0	0	1	1	0	1	1	1				['contract', 'other_in_proximity']	1642.2	
82	301377840	swingo 455	Netherlands	52666	2017618	Tergooiziekenhuizen	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	24.0	28.2	19.8	0.169642857143	under	1	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
83	301373521	swingo 455	Belgium	53341	2272466	Sint-Augustinus (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	31.8	60.0	27.75	0.427631578947		0	1	1	0	0	1	1	1				['other_available', 'other_in_proximity']		
84	301379782	swingo 455	Netherlands	52651	2245046	Friesland Campina	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	121.2	132.6	84.6	0.320388349515	over	0	0	1	1	0	1	1	1				['contract', 'other_in_proximity']		
85	301379434	swingo 455	Belgium	53381	2278461	Kmda (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	80.4	126.3	66.60000000000001	0.418918918919	over	0	0	1	1	0	1	1	1				['contract', 'other_in_proximity']		
86	301384925	swingo 455	Netherlands	54251	2141448	BASF NL Maastricht	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	31.200000000000003	34.8	28.349999999999998	0.641666666667		0	1	1	0	0	1	1	1				['other_available', 'other_in_proximity']		
87	10509	swingo 455	Norway	54194	10509	Dysjaland Skule	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	7.800000000000001	9.0	6.6	0.045045045045	under	0	1	1	1	1	1	0	1				['storage_closet']	1642.2	
88	301383481	swingo 455	Netherlands	54244	2274672	Heineken Wijlre	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	28.799999999999997	62.25000000000001	20.7			0	1	1	1	0	1	1	1				['other_in_proximity']		
89	301383469	swingo 455	Netherlands	54243	2274690	Heineken Hoofdkantoor	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	7.800000000000001	9.6	4.8	0.625		0	1	1	0	0	0	0	1				['other_available', 'other_in_proximity', 'bigger_fit_doors', 'storage_closet']		
90	301384933	swingo 455	Netherlands	54250	2282236	ENEXIS BV loc. Marsweg	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	7.199999999999999	22.8	4.8	0.6		0	1	1	1	1	0	1	0				['bigger_fit_doors', 'skills_in_team']		
91	301383470	swingo 455	Netherlands	54243	2274690	Heineken Hoofdkantoor	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	19.2	30.749999999999996	15.0	0.228571428571	under	0	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
92	301384921	swingo 455	Netherlands	54247	2277613	ENEXIS BV loc. Magistratenlaan	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	7.800000000000001	9.0	1.7999999999999998	0.0972222222222	under	0	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
93	301384924	swingo 455	Netherlands	54249	2277632	ENEXIS BV loc. Schatbeurderlaan	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	31.200000000000003	61.49999999999999	28.799999999999997	0.043956043956	under	0	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
94	301383471	swingo 455	Netherlands	54243	2274690	Heineken Hoofdkantoor	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	9.6	12.6	3.5999999999999996	0.258620689655	under	1	1	1	1	0	1	0	1				['other_in_proximity', 'storage_closet']	1642.2	
95	301383400	swingo 455	Belgium	53864	1520938	Ores LLN (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	14.399999999999999	17.4	10.799999999999999	0.556962025316		0	0	0	0	1	1	1	1				['contract', 'cost_negot', 'other_available']		
96	301383411	swingo 455	Belgium	53865	1708130	Cora (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	17.4	19.8	15.0	0.284768211921	under	0	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
97	301384560	swingo 455	Netherlands	54248	2277617	ENEXIS BV loc. Reitscheweg	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	11.4	14.399999999999999	9.0	0.141304347826	under	0	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
98	301382989	swingo 455	Belgium	53866	2063982	VF Europe (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	21.299999999999997	56.25	12.750000000000002	0.141935483871	under	0	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
99	17952	swingo 455	France	58026	2067298	MABILLE	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	1.2	6.3	0.8999999999999999	0.5		0	1	1	1	1	0	0	1				['bigger_fit_doors', 'storage_closet']		
100	10573	swingo 455	Norway	54394	10573	Thon Hotel Triaden	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	9.0	9.6	7.199999999999999	0.302325581395		0	1	1	1	1	1	1	1						
101	10598	swingo 455	Norway	54494	10598	Avinor Hammerfest	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	92.10000000000001	121.80000000000001	87.89999999999999	0.557142857143	over	0	1	1	1	1	1	1	1	upgrade	swingo 855 Power				
102	10556	swingo 455	Norway	54353	10556	Coop Prix Verdal	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	11.4	13.2	9.6	0.771428571429		0	1	1	0	1	0	1	1				['other_available', 'bigger_fit_doors']		
103	301387564	swingo 455	Netherlands	54265	2284985	Politie loc. Hoofdweg	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	18.0	19.799999999999997	9.3	0.102040816327	under	1	1	1	0	1	1	0	1				['other_available', 'storage_closet']	1642.2	
104	301390203	swingo 455	Netherlands	54272	2284989	Politie loc. Vosselmanstraat	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	22.2	27.599999999999998	5.3999999999999995	0.0900900900901	under	1	1	1	1	1	1	0	1				['storage_closet']	1642.2	
105	10535	swingo 455	Norway	54227	10535	Thon Hotel Arendal	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	27.6	36.9	24.450000000000003	0.1	under	1	1	1	0	0	1	0	1				['other_available', 'other_in_proximity', 'storage_closet']	1642.2	
106	301393072	swingo 455	Belgium	54290	2292155	Umicore Hoboken (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	48.6	71.25	30.450000000000003	0.333333333333		0	1	1	0	1	1	0	0				['other_available', 'storage_closet', 'skills_in_team']		
107	301393078	swingo 455	Belgium	54290	2292155	Umicore Hoboken (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	9.6	10.799999999999999	7.35	0.494949494949		0	1	1	1	1	1	1	1						
108	10567	swingo 455	Norway	54328	10567	Peder Smevig AS	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	30.3	85.19999999999999	25.349999999999998	0.407766990291		0	1	1	0	0	1	1	1				['other_available', 'other_in_proximity']		
109	301394873	swingo 455	Belgium	51993	1953674	ISS p/a AAK Benelux	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	20.1	24.599999999999998	17.4	0.291666666667	under	0	0	0	0	0	0	1	1				['contract', 'cost_negot', 'other_available', 'other_in_proximity', 'bigger_fit_doors']	1642.2	
110	10572	swingo 455	Norway	54376	10572	Matkroken Bygdøy Alle	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	87.0	141.0	65.55000000000001	0.728155339806	over	0	1	1	0	0	1	1	1				['other_available', 'other_in_proximity']		
111	10562	swingo 455	Norway	54327	10562	Coop Prix Nesset	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	16.200000000000003	18.3	14.25	0.711538461538		0	1	1	1	1	1	1	1						
112	301392599	swingo 455	Belgium	54291	2288851	Yoko Cheese (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	6.0	7.5	4.500000000000001	0.188679245283	under	1	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
113	301389784	swingo 455	Netherlands	54269	2284982	Politie Cellencomplex Hosbekkeweg	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	25.8	28.799999999999997	23.400000000000002	0.130434782609	under	0	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
